,bath,bed,furnished,price,size,street,where
289,2 baths,3 beds,0,"$3,000","1,200 ft²",386 Myrtle Avenue #2,Fort Greene
290,1 bath,2 beds,0,"$3,350",850 ft²,289 Garfield Place #3,Park Slope
291,1 bath,1 bed,0,"$2,300",,97 Butler Street #2F,
292,1 bath,2 beds,0,"$3,782",830 ft²,180 Myrtle Avenue #11P,
293,2 baths,2 beds,0,"$4,244",923 ft²,180 Myrtle Avenue #9G,
294,3.5 baths,3 beds,0,"$17,500","2,582 ft²",1 John Street #10A,DUMBO
295,2 baths,2 beds,0,"$3,200",869 ft²,33 Caton Place #2S,
296,1 bath,3 beds,0,"$2,400",,215 Ralph Avenue #2R,
297,1 bath,2 beds,0,"$2,050",,213 Ralph Avenue #4L,
298,1 bath,,1,"$3,900",,134 North 10th Street #2R,Williamsburg
299,1 bath,4 beds,0,"$4,800",,68 Richardson Street #202F,Williamsburg
300,1 bath,1 bed,0,"$2,000",750 ft²,440 Nostrand Avenue #3,Bedford-Stuyvesant
301,1 bath,2 beds,0,"$2,300","1,000 ft²",223 Covert Street #2,Bushwick
302,1 bath,,0,"$1,675",,125 Brighton 11th Street #5C,
303,1 bath,3 beds,0,"$3,799",,132A Stanhope Street #4A,Bushwick
304,1 bath,2 beds,0,"$2,799",,132A Stanhope Street #3B,Bushwick
305,1 bath,1 bed,0,"$1,800",,903 Saint Johns Place #3A,
306,1 bath,1 bed,0,"$1,600",,107 Linden Street #C2,Bushwick
307,1 bath,1 bed,0,"$3,162",677 ft²,"220 N 10th Street, #6K",Williamsburg
308,1 bath,2 beds,0,"$2,700",700 ft²,991 Willoughby Avenue #8B,Bushwick
309,2.5 baths,2 beds,0,"$6,457",,365 Bond Street #TH123,
310,1 bath,1 bed,0,"$3,600","1,200 ft²",50 Bridge Street #216,DUMBO
311,1 bath,1 bed,0,"$3,500",,50 Bridge Street #314,DUMBO
312,1 bath,1 bed,0,"$3,500","1,050 ft²",50 Bridge Street #316A,DUMBO
313,2 baths,2 beds,0,"$5,490",,223 North 8th Street #S7A,Williamsburg
314,1 bath,1 bed,0,"$3,600",,223 North 8th Street #N7K,Williamsburg
315,1 bath,1 bed,0,"$3,690",,223 North 8th Street #S2B,Williamsburg
316,1 bath,,0,"$2,700",,223 North 8th Street #N6C1,Williamsburg
317,1 bath,1 bed,0,"$3,950",,223 North 8th Street #N5H1,Williamsburg
318,1 bath,2.5 beds,0,"$3,700",,112 1st Place #3R,Carroll Gardens
319,1 bath,1 bed,0,"$1,650",,184 Clarkson Avenue #3K,
320,1 bath,1 bed,0,"$1,595",,252 Madison Street #3,Bedford-Stuyvesant
